"Order","Overruling Decision","Year of Overruling Decision","Overruled Decision(s)","Year(s) of Overruled Decision(s)"
"1","Loper Bright Enterprises v. Raimondo, No. 22-451 (U.S. June 28, 2024)","2024","Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., 467 U.S. 837 (1984)","1984"
"2","Dobbs v. Jackson Women’s Health Organization,No. 19-1391 (U.S. June 24, 2022)","2022","Planned Parenthood of Southeastern Pennsylvania v. Casey,505 U.S. 833 (1992);Roe v. Wade,410 U.S. 113 (1973)","19921973"
"3","Edwards v. Vannoy,No. 19-5807 (U.S. May 17, 2021)","2021","Teague v. Lane,489 U.S. 288 (1989) (in part)","1989"
"4","Ramos v. Louisiana,No. 18-5924 (U.S. Apr. 20, 2020)","2020","Apodaca v. Oregon,406 U.S. 404 (1972) (plurality opinion);Johnson v. Louisiana,406 U.S. 366 (1972) (Powell, J., concurring)","1972"
"5","Franchise Tax Board of California v. Hyatt, No. 17-1299 (U.S. May 13, 2019)","2019","Nevada v. Hall, 440 U.S. 410 (1979)","1979"
"6","Herrera v. Wyoming, No. 17-532 (U.S. May 20, 2019)","2019","Ward v. Race Horse,163 U.S. 504 (1896)","1896"
"7","Knick v. Township of Scott, No. 17-647 (U.S. June 21, 2019)","2019","Williamson County Regional Planning Commission v. Hamilton Bank of Johnson City, 473 U.S. 172 (1985) (in part)","1985"
"8","Rucho v. Common Cause, No. 18-422 (U.S. June 27, 2019)","2019","Davis v. Bandemer, 478 U.S. 109 (1986)","1986"
"9","Janus v. American Federation of State, County, & Municipal Employees, Council 31,No. 16-1466 (U.S. June 27, 2018)","2018","Abood v. Detroit Board of Education,431 U.S. 209 (1977)","1977"
"10","South Dakota v. Wayfair,No. 17-494 (U.S. June 21, 2018)","2018","Quill Corp. v. North Dakota, 504 U.S. 298 (1992);National Bellas Hess v. Department of Revenue of Illinois,386 U.S. 753 (1967)","19921967"
"11","Trump v. Hawaii,No. 17-965 (U.S. June 26, 2018)","2018","Korematsu v. United States,323 U.S. 214 (1944)","1944"
"12","Hurst v. Florida,No. 14-7505 (U.S. Jan. 12, 2016)","2016","Hildwin v. Florida,490 U.S. 638 (1989) (per curiam); Spaziano v. Florida, 468 U.S. 447 (1984)","19891984"
"13","Johnson v. United States,No. 13-7120 (U.S. June 26, 2015)","2015","Sykes v. United States,564 U.S. 1 (2011); James v. United States, 550 U.S. 192 (2007)","20112007"
"14","Obergefell v. Hodges,No. 14-556 (U.S. June 26, 2015)","2015","Baker v. Nelson,409 U.S. 810 (1972)","1972"
"15","Alleyne v. United States,570 U.S. 99 (2013)","2013","Harris v. United States,536 U.S. 545 (2002)","2002"
"16","Citizens United v. Federal Election Commission,558 U.S. 310  (2010)","2010","McConnell v. Federal Election Commission,540 U.S. 93 (2003)","2003"
"17","Montejo v. Louisiana,556 U.S. 778  (2009)","2009","Michigan v. Jackson,475 U.S. 625 (1986)","1986"
"18","Pearson v. Callahan,555 U.S. 223  (2009)","2009","Saucier v. Katz,533 U.S. 194 (2001)","2001"
"19","Bowles v. Russell,551 U.S. 205  (2007)","2007","Thompson v. Immigration & Naturalization Service,375 U.S. 384 (1964); Harris Truck Lines, Inc. v. Cherry Meat Packers, Inc., 371 U.S. 215 (1962)","19641962"
"20","Leegin Creative Leather Products Inc. v. PSKS, Inc.,551 U.S. 877  (2007)","2007","Dr. Miles Medical Co. v. John D. Park & Sons Co.,220 U.S. 373 (1911)","1911"
"21","Central Virginia Community College v. Katz,546 U.S. 356  (2006)","2006","Hoffman v. Connecticut Department of Income Maintenance,492 U.S. 96 (1989)","1989"
"22","Roper v. Simmons,543 U.S. 551  (2005)","2005","Stanford v. Kentucky,492 U.S. 361 (1989)","1989"
"23","Crawford v. Washington,541 U.S. 36  (2004)","2004","Ohio v. Roberts,448 U.S. 56 (1980)","1980"
"24","Lawrence v. Texas,539 U.S. 558  (2003)","2003","Bowers v. Hardwick,478 U.S. 186 (1986)","1986"
"25","Atkins v. Virginia,536 U.S. 304  (2002)","2002","Penry v. Lynaugh,492 U.S. 302 (1989)","1989"
"26","Lapides v. Board of Regents of University System of Georgia,535 U.S. 613  (2002)","2002","Ford Motor Co. v. Department of Treasury of State of Indiana,323 U.S. 459 (1945)","1945"
"27","Ring v. Arizona,536 U.S. 584  (2002)","2002","Walton v. Arizona,497 U.S. 639 (1990)","1990"
"28","United States v. Cotton,535 U.S. 625  (2002)","2002","Ex parte Bain,121 U.S. 1 (1887)","1887"
"29","United States v. Hatter,532 U.S. 557  (2001)","2001","Evans v. Gore,253 U.S. 245 (1920)","1920"
"30","Mitchell v. Helms,530 U.S. 793  (2000)","2000","Wolman v. Walter,433 U.S. 229 (1977); Meek v. Pittenger, 421 U.S. 349 (1975)","19771975"
"31","College Savings Bank v. Florida Prepaid Postsecondary Education Expense Board,527 U.S. 666  (1999)","1999","Parden v. Terminal Railway of Alabama State Docks Department,377 U.S. 184 (1964) (in part)","1964"
"32","Minnesota v. Mille Lacs Band of Chippewa Indians,526 U.S. 172  (1999) (in part)","1999","Ward v. Race Horse,163 U.S. 504 (1896) (in part)","1896"
"33","Hohn v. United States,524 U.S. 236  (1998)","1998","House v. Mayo,324 U.S. 42 (1945)","1945"
"34","Agostini v. Felton,521 U.S. 203  (1997)","1997","Aguilar v. Felton,473 U.S. 402 (1985); School District of Grand Rapids v. Ball, 473 U.S. 373 (1985) (in part)","1985"
"35","Hudson v. United States,522 U.S. 93  (1997)","1997","United States v. Halper,490 U.S. 435 (1989)","1989"
